ID,Genre,Title,Author,Purchase_Price,Purchase_Date
1,Dystopian-Fiction,Scavengers,Darren Simpson,£6.79,2/12/2020
2,Fiction,Ugly Love,Colleen Hoover,£4.50,14/04/2021
3,Fiction,War and Peace,Leo Tolstoy,£5.79,11/12/2018
4,Non-Fiction,Silent Spring,Rachel Carson,£8.85,9/12/2021
5,Non-Fiction,Into Thin Air,Jon Krakauer,£4.19,2/12/2021
6,Non-Fiction,The Undercover Economist,Tim Harford,£6.49,20/08/2019
7,Fiction,Great Expectations,Charles Dickens,£2.99,15/01/2021
8,Fiction,The Book Thief,Markus Zusak,£5.49,2/07/2012
9,Fiction,The Great Gatsby,F.Scott Fitzgerald,£3.49,3/05/2005
10,Science-Fiction,Neuromancer,William Gibson,£4.49,6/02/2015
11,Science-Fiction,Dune,Frank Herbert,£8.64,31/08/2010
12,Non-Fiction,In Cold Blood,Truman Capote,£4.49,18/11/2022
13,Historical-Fiction,Wolf Hall,Hilary Mantel,£6.99,20/11/2020 
14,Mystery,Gone Girl,Gillian Flynn,£4.75,30/03/2017 
15,Mystery,Blue Bird,Attica Locke,£4.49,30/04/2018
16,Adventure-Fiction,Treasure Island,Robert Louis,£5.79,13/02/2021
17,Adventure-Fiction,Fire & Blood,George R. R. Martin,£4.50,19/07/2019
18,Fantasy,A Game of Thrones,George R. R. Martin,£6.99,09/09/2016
19,Fantasy,The Lord of the Rings,J. R. R. Tolkien,£6.19,20/12/2018
20,Fantasy,The Fellowship of the Ring,J. R. R. Tolkien,£6.99,19/12/2022
21,Dystopian-Fiction,Scavengers,Darren Simpson,£6.79,2/12/2020
22,Fiction,Ugly Love,Colleen Hoover,£4.50,14/04/2021
23,Fiction,War and Peace,Leo Tolstoy,£5.79,11/12/2018
24,Non-Fiction,Silent Spring,Rachel Carson,£8.85,9/12/2021
25,Non-Fiction,Into Thin Air,Jon Krakauer,£4.19,2/12/2021
26,Non-Fiction,The Undercover Economist,Tim Harford,£6.49,20/08/2019
27,Fiction,Great Expectations,Charles Dickens,£2.99,15/01/2021
28,Fiction,The Book Thief,Markus Zusak,£5.49,2/07/2012
29,Fiction,The Great Gatsby,F.Scott Fitzgerald,£3.49,3/05/2005
30,Science-Fiction,Neuromancer,William Gibson,£4.49,6/02/2015
31,Science-Fiction,Dune,Frank Herbert,£8.64,31/08/2010
32,Non-Fiction,In Cold Blood,Truman Capote,£4.49,18/11/2022
33,Historical-Fiction,Wolf Hall,Hilary Mantel,£6.99,20/11/2020 
